selecteer,uuid,entity_thumb,ft_fotonummer,photoid,ft_datum_jaar,ft_omschrijving,auteursrechten_vervaardiger_naam
,0062f036-680e-4c87-b945-c7192223eedb,,{0.31328},{HGA001404170},1992,"Jan van Houtstraat, gezien van het Van St. Aldegondeplein naar de Westduinweg","Kempff, P.G."
,006d1817-5934-49a0-a87f-a5d00fbbf6fa,,{1.64059},{HGA001004007},1968,"Dr. M.A.M. Klompé, minister van Cultuur, Recreatie en Maatschappelijk Werk. Geboren op 16 augustus 1912 in Arnhem. 1948-1956 Lid van de Tweede Kamer (KVP) 1956-1963 Minister van Maatschappelijk Werk 1963-1966 Lid van de Tweede Kamer (KVP)",Stokvis
,006f0f32-c4b1-40e2-b10b-2e90424b78ff,,{883119},{HGA001883119},1975,"Mezenlaan nr. 55, groente- en fruitzaak C.J. van Brummelen, gespecialiseerd in fruitmanden",Stokvis
,006f350d-8094-4c37-8c2f-f3b71c9d0fbd,,{870831},{HGA001870831},1975,"Carnegieplein nr. 2, Vredespaleis; op de voorgrond een ijsventer van de firma Talamini",Stokvis
,008dd69b-6fdc-46e0-ac49-8248fddf5395,,{1.16982},{HGA001054277},1967,Huwelijk van prinses Margriet en mr. Pieter van Vollenhoven. Het bruidspaar tijdens een gezang bij de plechtigheid in de Grote Kerk,Stokvis
,00958382-6263-4abd-bfb5-cc5ac020ef8e,,{0.66879},{HGA001438614},1960,"Stadhouderslaan nr. 41, Gemeentemuseum",Stokvis
,00a53187-8454-430b-9c86-be3f5b285114,,{0.72810},{HGA001244259},1975,"Van Limburg Stirumstraat, hofje","Kempff, P.G."
,00a653d3-4506-41cf-a202-e2c4e8eef5e3,,{820282},{HGA001255907},1981,Luchtfoto Rijswijk. Rechts de Jozef Israëlslaan. Boven de Van Vredenburchweg met linksboven de Bonifatiuskerk.,Delta-Phot
,00b4fb93-6ef0-491d-996e-8cac9f161622,,{0.76766},{HGA001248646},1964,"Eerste haven met het nieuwe visafslaggebouw, gezien vanaf de kade aan de lange zijde van de Vissershavenweg",Stokvis
,00c50ab9-5769-40a4-9e3e-93b0712fad3a,,{0.05431},{HGA001031292},1978,Adriaan Pauwstraat hoek Antonie Heinsiusstraat,"Kempff, P.G."
,00e73e1a-5b0b-4cda-859c-e2418b2dd2e0,,{0.26881},{HGA001070705},1980,"Hasebroekstraat nrs. 107-91, gezien richting Beetsstraat","Kempff, P.G."
,00e77a96-bbb9-4d89-8879-a9ef6d54e760,,{870416},{HGA001870416},1975,"Lepelstraat nr. 11 (gedeeltelijk), 9 en lager. Op nr. 1 is N.V. Drukkerij P.H. Klop gevestigd","Paans, M."
,00ebc9d6-9dcf-4d26-8a4e-074f7c917bb3,,{0.27998},{HGA001400861},1979,"Hildebrandstraat nrs. 212-236, gezien naar de Hasebroekstraat","Kempff, P.G."
,00ee5802-a927-4cdd-b2bb-c6d004368277,,{0.61708},{HGA001433714},1982,"Rijswijkseweg nrs. 145-119A, naar Van Musschenbroekstraat gezien","Kempff, P.G."
,010306ef-ad00-42fe-8d00-c40db348b4ab,,{0.46615},{HGA001416361},1990,"Lozerlaan, Madestein met kassen","Kempff, P.G."
,01045b34-87fc-44f4-9caa-0a60d9663b3c,,{831162},{HGA001301437},1910,Anna Paulownastraat gezien van de kant van het Piet Heinplein,[ onbekend ]
,010cc4ea-1f70-4673-a4df-f05217e74f99,,{0.57195},{HGA001429218},1981,"Pluvierstraat nrs. 183-493, gezien van de Schiermonnikoogsestraat naar de Duivelandsestraat","Kempff, P.G."
,0116e853-c0f1-44eb-b8e2-9fe0b514bad1,,{1.16591},{HGA001053890},1965,Opening van het paviljoen voor beademingspatienten 'De Schelp' door prinses Beatrix. De prinses onderhoudt zich met enkele patienten. Brugsestraat,Stokvis
,011c3c9e-2125-4866-bf37-1e0bc61f4a02,,{0.27083},{HGA001070837},1978,"Heelsumstraat, gezien van de Apeldoornselaan naar de Loosduinsekade","Kempff, P.G."
,01221e79-0c47-41a4-96d9-f480383a29d0,,{0.17535},{HGA001061519},1980,"Douwes Dekkerstraat nrs. 2-8, gezien van de Multatulistraat","Kempff, P.G."
,0132d0c6-767b-4484-b358-cfcc5c20eb6d,,{0.26883},{HGA001070707},1980,"Hasebroekstraat nrs. 107-91, gezien richting Alberdingk Thijmstraat","Kempff, P.G."
,01396191-ded6-4eda-8905-16feb374c161,,{870503},{HGA001870503},1975,"Mauritskade, brug bij de Nassaulaan","Paans, M."
,0139c0bd-d1c7-491b-82b8-70e9be1c5c7e,,{870280},{HGA001870280},1975,Ankerstraat? nr. 53,"Paans, M."
,0141b9e7-9770-4c3f-a0a3-7d4862e37e20,,{0.52648},{HGA001424713},1980,"Oltmansstraat nrs. 67A-55, gezien naar de Alberdingk Thijmstraat","Kempff, P.G."
,014e0722-607e-42fe-900f-f44873023b25,,{0.05418},{HGA001031279},1978,Adriaan Pauwstraat nrs. 5 en 3,"Kempff, P.G."
,0152394f-0c58-441e-bb14-c513b5547b76,,{883150},{HGA001883150},1975,"Luchtfoto Centrum, gezien naar de Grote Kerk; op de voorgrond het Zuidwalland, rechts daarvan de Lange Beestenmarkt, door het midden loopt van links naar rechts de Prinsegracht",Stokvis
,015619d8-5806-4049-b939-ab4b2f8ff485,,{883181},{HGA001883181a},1984,Grote Marktstraat; sloop gebouw Haagsche Courant,"Vries, Jan de"
,0156aba7-3093-40b4-b904-ec2f8910b556,,{1.64960},{HGA001004896},1958,"Mr. S.L. Mansholt, minister van Landbouw, tijdens zijn afscheidsrede in de Tweede Kamer",Stokvis
,015c3b4f-406a-40f4-a406-f008fb4ab7db,,{1.18724},{HGA001056015},1972,"Prins Claus woont in zijn hoedanigheid als voorzitter van de ontwikkelingsstrategie een vergadering van het Nederlands Vrouwen Comité bij in het gebouw van de Tweede Kamer. V.l.n.r. mevrouw De Ru-Schouten (journaliste N.V.C.), mevrouw mr. Rood-de Boer (presidente), de prins, mevrouw N. Molenaar-Buyser (secretaresse) en mevrouw M.C. Laan-Benders (vice-presidente)",Stokvis
,016204de-75e8-4afd-be96-420e4a0c2797,,{0.49670},{HGA001421736},1982,Neherkade vanaf nrs. 309-310,"Kempff, P.G."
,016fd73f-f961-446c-8bac-9f37689191ff,,{0.18018},{HGA001062001},1983,"Dunne Bierkade nr. 16, Darbistenkerk","Kempff, P.G."
,01711744-3df0-4c30-b841-8154671104ee,,{0.22230},{HGA001066198},1982,Goudriaankade nrs. 21 en hoger richting Rijswijkseweg,"Kempff, P.G."
,0173f3cc-cc33-4070-a628-72cee5600856,,{1.13307},{HGA001050625},1952,"Huldiging van A. Brouwer ter gelegenheid van zijn 10 jarig wedstrijdleiderschap van de Haagse biljart verenigingen. V.l.n.r. J. Dijkmans, mevrouw en dhr. Brouwer, J. Appel en de heer Verhaar",Stokvis
,01747661-a212-456a-8014-889b596afc83,,{1.14526},{HGA001051834},1957,"Herdenking 50-jarig bestaan Koninklijke Nederlandse Vereniging voor Luchtvaart. Alvorens het nieuwe gebouw aan het Jozef Israëlsplein te openen, slaat Prins Bernhard het overvliegen van 40 vliegtuigen gade. Van links naar rechts burgemeester Kolfschoten, voorzitter C. Kolff, Prins Bernhard, minister Algera en luitenant-generaal Schaper, chef van de Luchtmachtstaf",Stokvis
,0175f64d-cbea-4176-8f9a-6f3cb70dd1a4,,{0.83695},{HGA001259005},1981,"Zeezwaluwstraat nr. 4, De Zeeschelp, Openbare kleuterschool","Kempff, P.G."
,017d8323-d959-4fd1-82d3-e85c6c448628,,{1.13663},{HGA001050981},1953,"Teraardebestelling van dr. J.A. Nederbragt oud. burgemeester van Voorburg op Nieuw Eykenduinen, staande vooraan links generaal L.F. Duymaer van Twist, daarnaast jhr. mr. F. Beelaerts van Blokland geheel rechts J.W. Noteboom burgemeester van Voorburg",Stokvis
,018343f5-c411-4e07-9184-0aebb38738ce,,{0.87826},{HGA001264000},1968,"Zuiderpark, de jeugd bouwt een Olympisch dorp",Stokvis
,018c464a-51eb-4c41-8e31-67eb9ba1e386,,{1.62971},{HGA001002941},1968,"Ernst Happel, trainer van de voetbalclub ADO",Stokvis
,01a4c0f8-4be3-4151-aec9-84884b7bc737,,{0.52654},{HGA001424719},1980,"Oltmansstraat nrs. 39-33, gezien naar de Schaapherderstraat","Kempff, P.G."
,01b25ab2-4794-4b15-8b21-13df10eeb6d6,,{0.60475},{HGA001432483},1975,"Riouwstraat nr. 1, gebouw van de Antroposofische Vereniging in Nederland","Kempff, P.G."
,01b55420-4139-4fae-b885-0a5df7680d56,,{0.64046},{HGA001436041},1993,"Schouwensestraat, oneven zijde gezien van de Pluvierstraat in de richting van de Markensestraat","Kempff, P.G."
,01b8459e-9c6a-48fa-9fca-8d53e9f1962f,,{0.35155},{HGA001404988},1981,Jonckbloetplein nrs. 24-9,"Kempff, P.G."
,01c394fa-31fd-43de-b726-c224a2e15c5f,,{1.16594},{HGA001053893},1965,"Rouwdienst voor koningin Elizabeth van België in de St. Jacobuskerk aan de Parkstraat. Koningin Juliana bij de entrée van de kerk; rechts van H.M. de Belgische Ambassadeur, baron van Straten Waillet",Stokvis
,01cce562-6716-4b0b-aaed-d68c5979c4b0,,{870757},{HGA001870757},1970,Perspectieffoto Juliana van Stolberglaan; het Paleis van Justitie in aanbouw,Stokvis
,01df1f87-a922-4adc-8899-a8acfdd7bd76,,{1.14315},{HGA001051625},1955,"Kinderen van het jeugdhuis 'Don Bosco' dansen in de Ridderzaal een menuet voor Koningin Juliana ter gelegenheid van het 50 jarig bestaan van de kinderwetten, van links naar rechts minister L.A. Donker, Koningin Juliana en 4e van links burgemeester mr. F.M.A. Schokking",Stokvis
,01df93fb-239a-4e17-865d-92b658319ad9,,{0.44534},{HGA001414335},1982,Leeghwaterplein nr. 15 (Riva),"Kempff, P.G."
,01e77304-559f-459e-b100-d1516af65eb4,,{6.05858},{HGA001171838},1860,Suzanna de Jongh-van Imbyze van Batenburg (1825-1905),"Bückmann, J.H."
,01efda36-6868-49d2-a99d-abe03512b6e2,,{0.46261},{HGA001416057},1975,"Loosduinseweg nr. 17, Gemeentearchief, indiceringskamer met van links naar rechts L.N.J. Reints, C.J.J. Stal (staand), J.W. van de Wetering bijgenaamd de Rooij, J.W. Voskuil en (geheel rechts) N. Grooss","Kempff, P.G."
,01f83fc4-25df-4d21-be6f-b9d75aabfb55,,{0.17251},{HGA001061237},1981,"Houtrustweg, afrastering rond Scheveningen Radio","Kempff, P.G."
,021f50d8-bf0b-46a8-8d6a-eb2d1a53348c,,{883112},{HGA001883112},1975,"Voldersgracht, gezien vanuit V & D in de richting van de kruising met de Gedempte Gracht en de Bezemstraat; links C & A, rechts de Hema",Stokvis
,021f5dab-382a-4097-92fe-e049d1bd974b,,{0.81918},{HGA001255124},1976,"Westeinde nr. 205, kostuumverhuurbedrijf Louis en Co.","Kempff, P.G."
,02210cb6-9dee-4994-97e0-e6282a464a33,,{0.14643},{HGA001058705},1979,"Camera Obscurastraat, gezien van de Hasebroekstraat naar de Busken Huetstraat","Kempff, P.G."
,023f15f8-b7ba-420c-b386-c6bff6ca3a7c,,{1.13599},{HGA001050917},1953,"De Stellendamse brandweer op bezoek bij de Haagse brandweer. Van links naar rechts hoofdbrandmeester A. de Haas, L. Visser, commandant van de Stellendamse brandweer, de burgemeester van Stellendam baron J. van Knobelsdorff en de commandant van de Haagse brandweer, H.J. van Oostveen, in de kantine van het stadhuis Burgemeester de Monchyplein",Stokvis
,0245017e-7a46-452c-8f67-99f1a8f4afba,,{1.23353},{HGA001022640},1979,Viering van het 25-jarig dienstjubileum van mevrouw drs. A.M.J. de Haan in de tentoonstellingszaal van het gemeentearchief. De heer P. Wander overhandigt namens het personeelsfonds een geschenk-enveloppe,"Kempff, P.G."
,02541f6f-0382-4192-93da-fe38538d511a,,{6.02317},{HGA001133045},1994,"Bachmanstraat, gezien van de Wassenaarseweg","Kempff, P.G."
,0257f267-269b-400a-89a2-ed60b3f8a426,,{1.13724},{HGA001051042},1953,"Burgemeester mr. F.M.A. Schokking opent het jeugdcentrum 'Overvoorde', van links naar rechts wethouder J. van Zwijndregt, ds. H.J. Drost, de burgemeester en A.Th. Bogaard, burgemeester van Rijswijk, Van Vredenburchweg, Rijswijk",Stokvis
,025b9cd4-e3b1-4aaf-9742-451a9bb2d89d,,{0.73054},{HGA001244502},1975,"Van Ostadestraat nr. 102 (rechts), nr. 10 (midden) en 8-2, gezien naar de Jacob Catsstraat. Nr. 10 met in de topgevel: G.J. Benier, Ned. Fabriek van Bakkerywerktuigen'","Kempff, P.G."
,025e7244-49f7-4fe1-a8eb-3142b7a61254,,{0.52664},{HGA001424729},1980,"Oltmansstraat nrs. 110-120, gezien van de Beetsstraat","Kempff, P.G."
,02686a56-5c6c-499a-bea6-540b1c7fd66d,,{0.39146},{HGA001408963},1990,"Korbootstraat, gezien van de Treilerdwarsweg naar de Vissershavenstraat","Kempff, P.G."
,026e879b-226f-4d5a-a56d-9478e0f9ede6,,{0.08764},{HGA001034609},1981,"Bergmannstraat nrs. 35-7, gezien van de Sinjeur Semeynsweg naar de Dautzenbergstraat","Kempff, P.G."
,027683f9-d831-4ddf-a23b-ec0718633357,,{0.14716},{HGA001058778},1981,"Capadosestraat nr. 286 en lager, gezien van de Van Zeggelenlaan richting Withuysstraat","Kempff, P.G."
,0281b05e-633c-43c8-8863-9ab43024d93c,,{1.18434},{HGA001055726},1971,Opening van de vergadering der Staten-Generaal. Koningin Juliana spreekt de Troonrede uit,Stokvis
,02869d11-64e3-4d30-a1d3-04f928c4e2ed,,{1.18418},{HGA001055710},1971,"Paul Steenbergen neemt afscheid als directeur van de Haagse Comedie. De scheidende directeur in gesprek met zijn vrouw Myra Ward, en zijn opvolger, Carel van der Plas, Raadzaal Javastraat",Stokvis
,028be492-26cf-4af3-a08b-728cf2f36da9,,{0.10973},{HGA001036804},1970,"Binnenhof, Eerste Kamer",Stokvis
,028f6c04-abae-4ad4-9563-714753c92949,,{0.80448},{HGA001253652},1986,Waldorpstraat tegenover nr. 50,"Kempff, P.G."
,0294f608-17fd-4662-b304-82b5d200d196,,{0.26923},{HGA001070747},1980,"Hasebroekstraat nrs. 4-36, gezien richting Jonathanstraat","Kempff, P.G."
,0299e1d0-ef30-4d3f-880a-9a3178374e73,,{0.06052},{HGA001031913},1980,"Amazonestraat nrs. 24-28, gezien naar de Alberdingk Thijmstraat","Kempff, P.G."
,02a0866d-31e0-4062-9fb1-29dcb56586d6,,{0.72869},{HGA001244318},1992,Van Lumeystraat nr. 85 (hoek Sonoystraat),"Kempff, P.G."
,02aad225-c7d8-4685-bdd7-d1a6abff62a9,,{0.28007},{HGA001400870},1979,Hildebrandstraat nrs. 112-130,"Kempff, P.G."
,02abfe20-af89-4256-8886-8a999abf8238,,{0.78659},{HGA001250742},1972,"De nieuwe pier, promenade gezien naar de Boulevard; op de achtergrond de Oranjeflats, het Palace Hotel en het Kurhaus",Stokvis
,02ac7e5d-1cf8-404c-866c-535d880d10c3,,{1.64532},{HGA001004476},1957,"Prof. mr. G.E. Langemeyer, procureur-generaal bij de Hoge Raad",Stokvis
,02b099c0-3c83-46c5-b639-7e199a3a3571,,{870374},{HGA001870374},1975,"Zuiderpark, in de winter","Paans, M."
,02b4f24b-f36f-4a1d-a646-2345e223d861,,{870325},{HGA001870325},1975,"Plein 1813, Nationaal-Monument, beeld Koning Willem I","Paans, M."
,02b79718-5913-4623-b7d1-1f2288ea4d24,,{0.51931},{HGA001423996},1982,Noordpolderkade tot de hoek Draaistraat,"Kempff, P.G."
,02c4ed72-3e0b-4bfc-9e32-f33ebad69b48,,{0.26927},{HGA001070751},1980,"Hasebroekstraat nrs. 2-4, gezien naar de Jonathanstraat","Kempff, P.G."
,02c97a7f-1305-4656-b040-78f71946892b,,{870816},{HGA001870816},1965,"Boulevard, Promenade met reklametoren bij de entree van de Pier",Stokvis
,02d059e7-df47-4f64-969b-99c00eae66b8,,{1.60337},{HGA001000335},1964,"H.A.C. Banning, burgemeester van Leidschendam",Stokvis
,02d58144-8943-4ae9-847b-a99e23d29d52,,{6.02340},{HGA001133068},1994,"Schoutenstraat nr. 46 en hoger, gezien naar de Van Alkemadelaan","Kempff, P.G."
,02dc27c1-3094-48ca-97ca-1fa781e73ad3,,{0.30191},{HGA001403041},1981,"Hugo Verrieststraat nrs. 55-1, gezien van de Jan Wapstraat naar het Ledeganckplein","Kempff, P.G."
,02ec163b-bb2e-476d-8816-5aa23dce2a52,,{1.17725},{HGA001055019},1969,"De directeur-generaal voor het Onderwijs, mr. J.G.M. Broekman (r.), reikt een van de prijzen van de Wiskunde-olympiade uit aan de heer J. Bedaux, leerling van het Lyceum Augustinianum te Eindhoven, op het ministerie van Onderwijs en Wetenschappen",Stokvis
,02f7458c-a4ea-4cac-a0fd-cfe2d362dfad,,{880791},{HGA001014918},1990,Badhuisweg met op de achtergrond het Kurhaus (tele-opname),"Kempff, P.G."
,03002e3c-dc62-4925-ab23-662e4310ef52,,{0.46654},{HGA001416400},1986,"1e Lulofsdwarsstraat, oneven zijde vanaf Calandplein naar Waldorpstraat","Kempff, P.G."
,03055c20-759f-455b-ba35-076bae679783,,{0.83328},{HGA001258638},1993,"Zandvoortstraat, even zijde gezien van de Renbaanstraat naar de Dirk Hoogenraadstraat","Kempff, P.G."
,03086046-f4cd-405a-9dd0-d9e9abb2f364,,{870616},{HGA001870616},1975,"Dunne Bierkade nr. 16a, Limburgia Bar","Paans, M."
,030a4c63-3634-4898-ab99-3ead429a8da4,,{0.45255},{HGA001415055},1980,"Lidewijdestraat nrs. 11-1, gezien van de Schimmelweg","Kempff, P.G."
,030ffbfd-4318-4fb2-8832-ada5ef04382b,,{0.71686},{HGA001444439},1992,"Van Brederodestraat nrs. 85-129, gezien naar de Douzastraat","Kempff, P.G."
,031953a8-f451-4b4b-a688-57d0f5f9b0b9,,{0.05551},{HGA001031412},1979,"Alberdingk Thijmstraat nrs. 2-10, gezien naar de Hildebrandstraat","Kempff, P.G."
,031a93a6-4d2c-400d-85b7-d8f8f01ac5ba,,{0.48231},{HGA001420450},1981,Meeuwenhof nrs. 51-45,"Kempff, P.G."
,03271440-9198-4497-88f0-9f015af460c3,,{0.38529},{HGA001408349},1968,Koninginnegracht ter hoogte van de Dr. Kuyperstraat richting Javastraat,Stokvis
,0329c616-c117-49dc-a016-5e118053b885,,{0.40760},{HGA001410567},1981,"Laakkade nrs. 444-450, gezien van de Willem de Clerqstraat richting Ferrandweg","Kempff, P.G."
,033637b5-b404-427d-9cd5-b0e62f65f023,,{0.57588},{HGA001429610},1975,"Prins Bernhardviaduct in aanbouw. Op de voorgrond het Julianahofje (Zwarteweg), op de achtergrond het Transitorium (Muzenstraat)","Kempff, P.G."
,033c5c8a-e2eb-4efd-bfeb-56504586e836,,{0.20533},{HGA001064507},1981,"De Genestetlaan, gezien van het Jonckbloetplein richting Laakkade","Kempff, P.G."
,033dce61-b88c-4e6d-869c-75221922aae2,,{0.17590},{HGA001061574},1981,"Drebbelstraat nrs. 333 en lager, gezien van de Jan van der Heydenstraat","Kempff, P.G."
,03458b98-c199-4afb-ac0e-dd7c95f354fd,,{0.39159},{HGA001408976},1976,"Korendijkstraat, gezien van de Zeilstraat richting Werfstraat","Kempff, P.G."
,0347f7c1-e812-42a6-8540-728d4bb7aed6,,{1.18723},{HGA001056014},1972,"De directeur-generaal voor openbare orde en veiligheid van het ministerie van Binnenlandse Zaken, mr. J.M. de Graaf, opent de reizende politietentoonstelling in de Bijenkorf. Geheel links de hoofdcommissaris dr. C.N. Peyster",Stokvis
,0350ae42-3777-4e6b-bc59-70b68fc6eade,,{870430},{HGA001870430},1975,"George Maduroplein, Madurodam, kerkgebouw","Paans, M."
,0351f103-ca7a-4a04-80e1-be08eaecdce5,,{860314},{HGA001860314},1945,"Vliegtuig terugkerend van voedseldropping op Ypenburg, foto genomen vanaf het dak van Kempstraat 275","Biegstraaten, F.W.H."
,035c95d8-4ce2-4416-b999-64ce0bc07a46,,{0.27891},{HGA001400754},1980,"Hildebrandplein nrs. 1-10, gezien tussen de Alberdingk Thijmstraat en de Keggestraat","Kempff, P.G."
,037901b0-d290-481a-9234-097a0521c870,,{870518},{HGA001870518},1975,"Papaverhof, overzicht","Paans, M."
,037a22ff-90e2-46e8-b97d-55ffe0e9ec96,,{0.70271},{HGA001443030},1981,"Trembleystraat nrs. 25-1, gezien naar de Karel de Geerstraat","Kempff, P.G."
,039b392a-c602-4e14-932e-9fb0f9b201ac,,{0.66862},{HGA001438597},1963,"Stadhouderslaan, Gemeentemuseum, een beeldhouwwerk van Jan van Logteren",Stokvis
,039c3a14-4c2e-4746-954a-adfaaa274533,,{1.15622},{HGA001052924},1962,Ballonwedstrijd op het Malieveld voor de Golden Jubilee Trophee,Stokvis
,039eff59-115f-41e9-b324-56fc388e3038,,{1.63336},{HGA001003298},1971,"Hommel, 'K. en O.'",Meyer/Stokvis
,03b4c126-a416-4c28-b32f-aeced9cd48f1,,{1.67803},{HGA001007689},1968,"Dr. A. Veerman, Tweede Kamerlid voor de Anti-Revolutionaire Partij; lid van de Provinciale Staten van Zuid-Holland; lid van de gemeenteraad in Rijswijk (Zuid-Holland), geboren op 11 oktober 1916 in Bodegraven",Stokvis
,03b8584b-bcad-410f-a190-1c5dc6bff788,,{0.20532},{HGA001064506},1981,"De Genestetlaan nrs. 141-127, gezien ter hoogte van de Jan Wapstraat naar het Jonckbloetplein","Kempff, P.G."
,03c9259c-5da5-45ef-b9cc-b873224cc4a1,,{0.05506},{HGA001031367},1980,"Alberdingk Thijmplein nrs. 50-45, gezien richting Kneppelhoutstraat","Kempff, P.G."
,03ca14e2-6516-4b04-8a95-29139f2ed36e,,{870739},{HGA001870739},1975,"Bankastraat nr. 11, Alexanderhof","Paans, M."
,03e3608c-860b-4d1c-a105-b75cb8408d49,,{820338},{HGA001255963},1983,"Luchtfoto stadsvernieuwing Stationsbuurt. Diagonaal het Prins Bernhardviaduct. Het bouwterrein in het midden wordt verder begrensd door de Zwarteweg (rechtsboven), de Uilebomen (rechtsonder) en de Nieuwe Haven (linksonder). Aan de andere kant van het viaduct naast de gebouwen van de ministeries van Binnenlandse Zaken en Justitie het braakliggende terrein waar later de Zwarte Madonna zou worden gebouwd.",Delta-Phot
,03f4abc4-a45c-4f90-aee0-a3467b5c1bfa,,{1.16930},{HGA001054225},1967,Huwelijk van prinses Margriet en mr. Pieter van Vollenhoven. Overzicht van de raadzaal aan de Javastraat tijdens de toespraak van burgemeester mr. H.A.M.T. Kolfschoten,Stokvis
,03fb1a40-1e13-4db8-85c8-100f98d751fc,,{870627},{HGA001870627},1975,"Spui nr. 175, Nieuwe Kerk","Paans, M."
,03fcc533-6a5c-4193-8daa-f2bd5ecac33e,,{0.57456},{HGA001429478},1957,"Pompstationsweg, gevangenis",Stokvis
,0402941d-f28f-418a-b644-9e47b79c9827,,{1.14077},{HGA001051393},1954,"Het plaatsen van het nieuwe beeld van Koning Willem I dat uit brons bestaat, op het voetstuk van het onafhankelijkheidsmonument op Plein 1813",Stokvis
,040357e7-253a-4f03-bb71-c73dffdcaa7c,,{0.72818},{HGA001244267},1975,"Van Limburg Stirumstraat, ingang van het hofje naast nr. 157","Kempff, P.G."
,040433c4-29fd-4250-beb0-90dfd3e9d492,,{870750},{HGA001870750},1970,"Johan de Wittlaan, beeldengroep in de vijver van de Eerste Nederlandsche/ Nieuwe Eerste Nederlandsche",Stokvis
,040c640c-8c0a-4086-90a3-3b8b6cb6829f,,{883165},{HGA001883165},1982,"Madurodam, de Dam in Amsterdam met het koninklijk paleis en het nationaal monument","Vries, Jan de"
,040efcb6-103f-487c-8903-0d4697827151,,{0.60624},{HGA001432632},1960,"Roemer Visscherstraat, gezicht in de straat",Stokvis
,0420414d-2a04-4111-abbc-2ee2fc998d81,,{1.13311},{HGA001050629},1952,"Rouwdienst in de St. Jacobuskerk voor Eva Peron de overleden echtgenote van het Argentijnse staatshoofd. V.l.n.r. mr. J. Visser, Lt. ter Zee A.F. Elbers als vertegenwoordiger van prins Bernhard en de Argentijnse gezant M.A.M. Ramon Valenzuela",Stokvis
,0429de10-970b-4cc6-8f11-40f6181a6e64,,{0.37246},{HGA001407069},1953,"Kerklaan nr. 195, kijkje in de telefooncentrale",Stokvis
